00002BAKER               010105000001953425002012755080050025000032094        
00004DORSEY              010104500011280565102012800080050029027020293        
00006NOLTE               010204500012555832504021350090025022005062793        
00008JOHNKE              020105500012853200002032200080025010012011593        
00010MARSHALL            020105300012580219602032702580050008035112994        
00012MADISON             030107600001953425002012755080050025000032094        
00014GRUBER              030114500011280565102012800080050029027020293        
00016NEEDY               030207900012555832504021350090025022005062793        
00018MCCLANE             040109100012853200002032200080025010012011593        
00020BARTLETT            040106800012580219602032702580050008035112994        
