00001ADAMSON             010104000014550324201021500067500040010011593        
00003CARTWELL            010110000012783145905021705097525030032041095        
00005HAMMOND             010205000008512975004021950090000100040050595        
00007REDFORD             020204800012257598303022907585075018010110195        
00009WHITE               020105900001897443701023500067500005000062094        
00011ROBINSON            020107200014550324201021502367500040010011593        
00013MONROE              030113000012783145905021705097525030032041095        
00015CAIRO               030206500008512975004021950096700100040050595        
00017GABLES              040207100012257598303022907585395018010110195        
00019ROCCO               040108700001897443701023514067500005000062094        
